🔍 Logging to: preprocess-4-epoka-bert-model-80-20-new-dataset\logs.txt
📥 Loading dataset...
Sample rows:
                                                text    label
0  i feel awful about it too because it s my job ...  sadness
1                              im alone i feel awful  sadness
2  ive probably mentioned this before but i reall...      joy
3           i was feeling a little low few days back  sadness
4  i beleive that i am much more sensitive to oth...     love
💾 Saved label mapping → preprocess-4-epoka-bert-model-80-20-new-dataset\label_mapping.json

Label distribution:
label
1    141067
0    121187
3     57317
4     47712
2     34554
5     14972
Name: count, dtype: int64

Train size: 333447, Test size: 83362
🔑 Loading tokenizer and model...
✂️ Tokenizing...
⚙️ Setting training arguments...
🧠 Initializing Trainer...
🚀 Training...
{'loss': 1.1316, 'grad_norm': 6.888326644897461, 'learning_rate': 1.995225756921453e-05, 'epoch': 0.01}
{'loss': 0.4872, 'grad_norm': 4.1716389656066895, 'learning_rate': 1.990427522671657e-05, 'epoch': 0.02}
{'loss': 0.2929, 'grad_norm': 4.887082099914551, 'learning_rate': 1.9856292884218608e-05, 'epoch': 0.03}
{'loss': 0.2848, 'grad_norm': 23.65459442138672, 'learning_rate': 1.980831054172065e-05, 'epoch': 0.04}
{'loss': 0.251, 'grad_norm': 9.453227043151855, 'learning_rate': 1.9760328199222686e-05, 'epoch': 0.05}
{'loss': 0.2215, 'grad_norm': 0.33310142159461975, 'learning_rate': 1.9712345856724726e-05, 'epoch': 0.06}
{'loss': 0.2012, 'grad_norm': 6.570273399353027, 'learning_rate': 1.9664363514226767e-05, 'epoch': 0.07}
{'loss': 0.1702, 'grad_norm': 5.0394439697265625, 'learning_rate': 1.9616381171728804e-05, 'epoch': 0.08}
{'loss': 0.1769, 'grad_norm': 3.93578839302063, 'learning_rate': 1.9568398829230844e-05, 'epoch': 0.09}
{'loss': 0.1763, 'grad_norm': 8.863883018493652, 'learning_rate': 1.9520416486732884e-05, 'epoch': 0.1}
{'loss': 0.1568, 'grad_norm': 5.291620254516602, 'learning_rate': 1.9472434144234925e-05, 'epoch': 0.11}
{'loss': 0.1557, 'grad_norm': 5.600786209106445, 'learning_rate': 1.9424451801736962e-05, 'epoch': 0.12}
{'loss': 0.1595, 'grad_norm': 2.111727476119995, 'learning_rate': 1.9376469459239002e-05, 'epoch': 0.12}
{'loss': 0.1519, 'grad_norm': 0.029757879674434662, 'learning_rate': 1.9328487116741043e-05, 'epoch': 0.13}
{'loss': 0.1345, 'grad_norm': 8.249493598937988, 'learning_rate': 1.928050477424308e-05, 'epoch': 0.14}
{'loss': 0.1409, 'grad_norm': 0.032869499176740646, 'learning_rate': 1.923252243174512e-05, 'epoch': 0.15}
{'loss': 0.14, 'grad_norm': 1.4304709434509277, 'learning_rate': 1.9184540089247157e-05, 'epoch': 0.16}
{'loss': 0.1262, 'grad_norm': 3.8111960887908936, 'learning_rate': 1.9136557746749198e-05, 'epoch': 0.17}
